cruise,longitude,latitude,depth,temp,sal,oxy,phosphate,nitrate,silicate,barium
GA02,325.7197,-26.0894,750,5.7302,34.377899,207.899994,1.863,27.68,17.809999,54.816643
GA02,325.7197,-26.0894,997,3.8192,34.378601,194.600006,2.182,32.16,37.32,65.72171
GA02,325.7197,-26.0894,1246,3.1359,34.541599,185.5,2.194,32.130001,50.860001,71.611382
GA02,325.7197,-26.0894,1499,3.2769,34.7481,199.899994,1.869,28.049999,43.599998,67.533302
GA02,325.7197,-26.0894,1752,3.373,34.873901,223.5,1.562,23.690001,32.810001,61.587021
GA02,325.7197,-26.0894,2001,3.3406,34.9286,239.399994,1.393,21.15,26.530001,60.045395
GA02,325.7197,-26.0894,2502,3.0139,34.932598,245.899994,1.358,20.459999,28.459999,62.134052
GA02,325.7197,-26.0894,2751,2.8703,34.925701,246.199997,1.369,20.66,30.889999,61.722004
GA02,325.7197,-26.0894,3001,2.7325,34.9188,246.899994,1.377,20.719999,32.68,66.224182
GA02,325.7197,-26.0894,3250,2.5915,34.908401,247,1.409,20.950001,35.759998,63.701153
GA02,325.7197,-26.0894,3500,2.3192,34.882999,245.5,1.508,22.030001,44.830002,69.50119
GA02,325.7197,-26.0894,4002,1.3508,34.777901,228.5,1.909,27.82,85.519997,88.526459
GA02,325.7197,-26.0894,4560,0.2887,34.673698,218.399994,2.242,32.93,124.400002,103.707153
GA02,327.2561,-22.472,10,26.389,36.492199,200.699997,0.028,0,0.5,37.504292
GA02,327.2561,-22.472,24,26.3549,36.490601,201.800003,0.034,0,0.46,39.579575
GA02,327.2561,-22.472,50,26.351801,36.5,201.699997,0.036,0,0.49,39.55825
GA02,327.2561,-22.472,75,22.5471,36.630699,227.800003,0.031,0,0.76,39.799892
GA02,327.2561,-22.472,100,22.060499,36.763,210.899994,0.054,0,0.75,38.178413
GA02,327.2561,-22.472,151,20.0221,36.362099,214.100006,0.082,0.06,0.91,39.073551
GA02,327.2561,-22.472,199,17.8041,35.937901,213,0.207,1.43,1.27,38.122612
GA02,327.2561,-22.472,250,16.07,35.6325,209.100006,0.374,3.81,1.83,39.430325
GA02,327.2561,-22.472,299,14.5872,35.400398,204.300003,0.58,7.01,2.41,40.679119
GA02,327.2561,-22.472,401,12.4501,35.118698,202.699997,0.868,11.92,3.97,41.46059
GA02,327.2561,-22.472,502,10.0348,34.807098,194.600006,1.273,18.5,7.58,43.59898
GA02,327.2561,-22.472,752,5.2977,34.394199,191.699997,2.01,30.08,22.790001,72.065842
GA02,327.2561,-22.472,999,3.7388,34.448898,182.5,2.178,32.799999,40.009998,65.487274
GA02,327.2561,-22.472,1250,3.5282,34.6628,188.5,1.99,29.98,41.310001,67.602959
GA02,327.2561,-22.472,1502,3.7701,34.861,212.100006,1.63,24.77,29.67,56.585606
